level3_16,41,61,42,99,80,146,72851,7316
level1_28,30,72,70,175,75,256,73885,8350
level2_25,0,0,0,0,0,0,74126,8591
level1_11,0,0,0,161,187,256,78455,12920
level_226,36,101,0,133,193,256,78523,12988
level3_35,54,64,60,91,61,122,79425,13890
level1_14,0,0,0,161,187,256,80449,14914
level3_36,39,57,83,128,111,256,84573,19038
level1_3,38,61,68,141,84,233,150363,19293
level3_9,0,96,0,71,248,256,86017,20482
level3_39,0,205,0,7,249,256,89170,23635
level1_8,40,70,0,161,187,256,89312,23777
level3_37,0,205,0,7,249,256,90442,24907
level3_41,0,205,0,7,249,256,90744,25209
level3_18,49,71,42,118,63,256,92851,27316
level3_29,38,69,42,91,47,131,93516,27981
level2_6,0,1,0,2,251,256,94111,28576
level3_12,30,96,25,148,242,256,94252,28717
level2_7,135,162,6,14,246,256,94578,29043
level2_34,43,69,64,125,127,256,98946,33411
level1_5,30,65,46,156,126,256,101574,36039
level1_4,37,64,48,141,119,256,103832,38297
level0_10,30,62,50,192,135,256,39696,39696
level3_2,37,64,46,82,45,80,108184,42649
level0_8,30,62,50,192,135,256,43309,43309
level0_6,30,62,50,192,135,256,43776,43776
level0_7,30,62,50,192,135,256,43856,43856
level0_9,30,62,50,192,135,256,44073,44073
level0_5,30,62,50,192,135,256,44185,44185
level0_4,0,0,70,173,153,256,44274,44274
level0_3,0,0,70,173,153,256,44308,44308
level0_2,28,58,70,173,153,256,44745,44745
level0_13,39,70,64,154,107,236,50745,50745
level0_12,39,70,64,154,107,236,50812,50812
level0_16,37,49,54,96,81,120,120321,54786
level2_0,38,57,45,85,59,90,123358,57823
